from,to
146,127
146,130
146,132
146,138
147,104
147,199
147,209
147,222
148,149
148,150
148,151
148,152
149,148
149,150
150,67
150,148
150,149
150,151
150,152
151,53
151,56
151,67
151,83
151,108
151,148
151,150
151,152
152,148
152,150
152,151
153,26
154,26
154,29
154,125
154,158
154,159
155,29
155,32
155,156
155,158
155,160
156,155
156,157
156,158
156,159
156,160
156,161
157,156
157,159
157,161
158,29
158,154
158,155
158,156
158,159
159,26
159,154
159,156
159,157
159,158
160,155
160,156
160,161
161,156
161,157
161,160
162,176
162,178
162,180
163,171
164,166
164,168
164,172
164,181
164,185
164,188
165,62
165,166
165,172
165,174
166,62
166,164
166,165
166,172
166,185
167,87
167,88
167,170
167,176
167,179
167,181
168,90
168,164
168,177
168,181
168,188
169,170
169,176
170,167
170,169
170,173
170,176
170,179
171,163
171,172
171,178
171,181
172,164
172,165
172,166
172,171
172,174
172,181
173,170
174,165
174,172
175,177
175,179
175,182
176,162
176,167
176,169
176,170
176,178
176,180
176,181
177,87
177,90
177,168
177,175
177,179
177,182
177,188
177,194
178,162
178,171
178,176
178,181
179,87
179,167
179,170
179,175
179,177
180,162
180,176
181,88
181,89
181,90
181,164
181,167
181,168
181,171
181,172
181,176
181,178
182,175
182,177
182,187
182,194
183,184
183,190
183,206
184,183
184,187
184,189
184,190
184,193
184,194
185,62
185,64
185,164
185,166
185,188
185,191
185,192
186,50
186,70
186,192
186,195
186,200
186,216
187,182
187,184
187,194
188,164
188,168
188,177
188,185
188,191
188,194
189,184
189,190
189,191
189,193
189,194
189,195
189,200
189,201
190,183
190,184
190,189
190,193
190,201
190,204
190,206
191,185
191,188
191,189
191,192
191,194
191,195
192,50
192,64
192,185
192,186
192,191
192,195
193,184
193,189
193,190
194,177
194,182
194,184
194,187
194,188
194,189
194,191
195,186
195,189
195,191
195,192
195,200
196,197
197,196
198,103
198,104
198,199
198,201
199,104
199,147
199,198
199,201
199,204
199,207
199,208
199,209
199,210
200,102
200,103
200,105
200,186
200,189
200,195
200,201
200,216
200,217
201,103
201,189
201,190
201,198
201,199
201,200
201,204
202,205
202,207
202,208
203,204
203,206
203,210
203,212
204,190
204,199
204,201
204,203
204,206
204,210
205,202
205,208
205,211
205,212
206,183
206,190
206,203
206,204
207,46
207,199
207,202
207,208
207,209
208,199
208,202
208,205
208,207
208,210
208,212
209,34
209,46
209,147
209,199
209,207
209,221
209,222
210,199
210,203
210,204
210,208
210,212
211,205
212,203
212,205
212,208
212,210
213,71
213,73
213,215
213,218
213,220
213,222
213,223
214,8
214,71
214,78
214,80
214,219
215,73
215,102
215,213
215,217
215,222
216,70
216,73
216,186
216,200
216,217
217,73
217,102
217,200
217,215
217,216
218,34
218,38
218,44
218,213
218,220
218,221
218,223
219,8
219,9
219,71
219,214
219,223
220,213
220,218
220,221
220,222
221,34
221,209
221,218
221,220
221,222
222,101
222,102
222,104
222,147
222,209
222,213
222,215
222,220
222,221
223,9
223,38
223,71
223,213
223,218
223,219
