region,year,cases,population,elderly_t3_z,urban_population_z,sex_ratio_z,longterm_hospital_z,clinic_z,general_hospital_z,family_medicine_clinic_z,physicians_per_1000_z,idarea,idtime,idarea_time
강원도강릉시,2011,0,217571,0,0.36586177104399453,-0.2568684727568099,-0.4294080086342478,-0.12198513845031064,1.48631748226194,-0.06706808873649214,0.01367386437495893,1,1,1
강원도강릉시,2012,1,217741,0,0.3665499301388983,-0.27915282651567436,-0.4294080086342478,-0.12198513845031064,1.48631748226194,-0.06706808873649214,0.05696981222345899,1,2,2
강원도강릉시,2013,0,216806,0,0.3620768960220233,-0.33953303648557676,-0.542731388211772,-0.13732146504400555,1.48631748226194,-0.06706808873649214,0.05696981222345899,1,3,3
강원도강릉시,2014,0,215807,0,0.36138873692711954,-0.35571164824646084,-0.4294080086342478,-0.12198513845031064,1.48631748226194,-0.06706808873649214,0.10026576007195924,1,4,4
강원도강릉시,2015,0,214560,0,0.36104465737966746,-0.35008690629650774,-0.20276124947919927,-0.13220935617944057,1.48631748226194,-0.2258165488145816,0.14356170792045952,1,5,5
강원도강릉시,2016,0,213846,0,0.36138873692711954,-0.3349625757209751,-0.20276124947919927,-0.0964245941274858,1.48631748226194,-0.2258165488145816,0.18685765576895977,1,6,6
강원도강릉시,2017,1,213952,0,0.3637972937592829,-0.3340888525055874,-0.20276124947919927,-0.0964245941274858,1.48631748226194,-0.06706808873649214,0.23015360361746004,1,7,7
강원도강릉시,2018,0,212957,0,0.3699907256134179,-0.36954080492276065,-0.542731388211772,-0.587187045125723,-0.6817352111089774,-0.5433134689707605,0.2734495514659601,1,8,8
강원도강릉시,2019,0,213442,0,0.3779045552048126,-0.3862209791891045,-0.20276124947919927,-0.07597615866922591,1.48631748226194,-0.5433134689707605,0.2734495514659601,1,9,9
강원도강릉시,2020,0,213321,0,0.38197499147744113,-0.4007531001991352,-0.3160846290567235,-0.07597615866922591,1.48631748226194,-0.06706808873649214,0.36004144716296066,1,10,10
강원도강릉시,2021,0,212965,0,0.3840979870589471,-0.3822411538428373,-0.3160846290567235,-0.07086404980466093,0.9443043089192108,-0.06706808873649214,0.36004144716296066,1,11,11
강원도강릉시,2022,1,211381,1.2243526392369692,0.3830657484165913,-0.3958168559545791,-0.4294080086342478,-0.045303505481836086,0.9443043089192108,0.25042883141968675,0.4033373950114609,1,12,12
강원도강릉시,2023,0,209439,1.2243526392369692,0.3772163961099084,-0.4423873189530349,-0.4294080086342478,-0.04019139661727112,0.9443043089192108,0.0916803713415973,0.4033373950114609,1,13,13
강원도강릉시,2024,0,207731,1.2243526392369692,0.3737756006353892,-0.45110790793346,-0.4294080086342478,-0.024855070023576207,0.9443043089192108,0.0916803713415973,0.4033373950114609,1,14,14
강원도고성군,2011,0,30057,0,-0.8824588271116248,1.6242387395480158,-0.6560547677892963,-0.6280839160422427,-0.6817352111089774,-0.5433134689707605,-0.7223572490495449,2,1,15
강원도고성군,2012,0,30124,0,-0.8903726567030192,1.9831187625270923,-0.6560547677892963,-0.6331960249068076,-0.6817352111089774,-0.5433134689707605,-0.7656531968980452,2,2,16
강원도고성군,2013,0,30398,0,-0.897254247652058,2.7251475811524006,-0.6560547677892963,-0.6178596983131127,-0.6817352111089774,-0.5433134689707605,-0.7223572490495449,2,3,17
강원도고성군,2014,0,30269,0,-0.8910608157979232,2.6997627371751953,-0.6560547677892963,-0.6178596983131127,-0.6817352111089774,-0.5433134689707605,-0.7223572490495449,2,4,18
강원도고성군,2015,0,30060,0,-0.8903726567030192,2.6544128591970075,-0.6560547677892963,-0.6178596983131127,-0.6817352111089774,-0.5433134689707605,-0.8089491447465453,2,5,19
강원도고성군,2016,0,30114,1.2243526392369692,-0.880738429374365,2.318443083232885,-0.6560547677892963,-0.6178596983131127,-0.6817352111089774,-0.5433134689707605,-0.8089491447465453,2,6,20
강원도고성군,2017,0,30029,1.2243526392369692,-0.8855555430386921,2.2066375978511834,-0.6560547677892963,-0.6178596983131127,-0.6817352111089774,-0.5433134689707605,-0.7656531968980452,2,7,21
강원도고성군,2018,0,28144,1.2243526392369692,-0.8817706680167209,1.903919200945032,3.083616758269004,3.23155827670431,6.906449215689234,1.8379134322005812,-0.7656531968980452,2,8,22
강원도고성군,2019,0,27260,1.2243526392369692,-0.8717923611406148,1.4126354180531444,-0.6560547677892963,-0.62297180717767775,-0.6817352111089774,1.5204165120444022,-0.7223572490495449,2,9,23
강원도고성군,2020,0,26757,1.2243526392369692,-0.9030182778652,1.2458588259686023,-0.6560547677892963,-0.62297180717767775,-0.6817352111089774,-0.5433134689707605,-0.7223572490495449,2,10,24
강원도고성군,2021,0,27249,1.2243526392369692,-0.9505865775071076,1.1298245651741483,-0.6560547677892963,-0.6280839160422427,-0.6817352111089774,-0.5433134689707605,-0.7223572490495449,2,11,25
강원도고성군,2022,0,27274,1.2243526392369692,-0.9674464753322528,1.218438082106288,-0.6560547677892963,-0.62297180717767775,-0.6817352111089774,-0.5433134689707605,-0.7223572490495449,2,12,26
강원도고성군,2023,0,27305,1.2243526392369692,-0.955059611623983,1.0364591522196729,-0.6560547677892963,-0.6280839160422427,-0.6817352111089774,-0.5433134689707605,-0.7223572490495449,2,13,27
강원도고성군,2024,0,26999,1.2243526392369692,-0.9519628956969156,0.9736513277847372,-0.6560547677892963,-0.6280839160422427,-0.6817352111089774,-0.5433134689707605,-0.7223572490495449,2,14,28
강원도동해시,2011,0,95804,-1.2243526392369692,0.8362185124107895,0.2540054702980728,-0.4294080086342478,-0.41337534373051393,-0.13972203776624803,-0.38456500889267103,-0.4625815619585435,3,1,29
강원도동해시,2012,0,93897,-1.2243526392369692,0.8362185124107895,0.30586183149950547,-0.4294080086342478,-0.40826323486594895,-0.13972203776624803,-0.38456500889267103,-0.4625815619585435,3,2,30
강원도동해시,2013,0,95143,-1.2243526392369692,0.8362185124107895,0.3823285643717296,-0.4294080086342478,-0.40826323486594895,-0.13972203776624803,-0.38456500889267103,-0.4625815619585435,3,3,31
강원도동해시,2014,0,94562,0,0.8362185124107895,0.417105882849604,-0.4294080086342478,-0.41337534373051393,-0.13972203776624803,-0.38456500889267103,-0.4625815619585435,3,4,32
강원도동해시,2015,0,93895,0,0.8362185124107895,0.4087421285061007,-0.3160846290567235,-0.403151126001384,-0.13972203776624803,-0.38456500889267103,-0.3759896662615431,3,5,33
강원도동해시,2016,0,93297,0,0.8362185124107895,0.3781930635175679,-0.3160846290567235,-0.3827026905431241,-0.13972203776624803,-0.38456500889267103,-0.3759896662615431,3,6,34
강원도동해시,2017,0,92851,0,0.8362185124107895,0.491071580731416,-0.3160846290567235,-0.39292690827225407,-0.13972203776624803,-0.38456500889267103,-0.3759896662615431,3,7,35
강원도동해시,2018,0,91272,0,0.8362185124107895,0.4414294217071007,-0.20276124947919927,-0.08108826753379088,1.48631748226194,-0.2258165488145816,-0.3759896662615431,3,8,36
강원도동해시,2019,0,90522,0,0.8362185124107895,0.45309338408372424,-0.3160846290567235,-0.403151126001384,-0.13972203776624803,-0.2258165488145816,-0.33269371841304296,3,9,37
강원도동해시,2020,0,90593,0,0.8362185124107895,0.5540938698633711,-0.3160846290567235,-0.40826323486594895,-0.13972203776624803,-0.38456500889267103,-0.3759896662615431,3,10,38
강원도동해시,2021,0,90081,0,0.8362185124107895,0.6133310631200908,-0.3160846290567235,-0.39292690827225407,-0.13972203776624803,-0.38456500889267103,-0.33269371841304296,3,11,39
강원도동해시,2022,0,89426,0,0.8362185124107895,0.5768932158520649,-0.3160846290567235,-0.39292690827225407,-0.13972203776624803,-0.38456500889267103,-0.33269371841304296,3,12,40
강원도동해시,2023,2,88625,1.2243526392369692,0.8362185124107895,0.6040847301584311,-0.3160846290567235,-0.40826323486594895,0.4022911355764814,-0.38456500889267103,-0.33269371841304296,3,13,41
강원도동해시,2024,0,87675,1.2243526392369692,0.8362185124107895,0.5401893461788939,-0.3160846290567235,-0.41337534373051393,0.4022911355764814,-0.38456500889267103,-0.33269371841304296,3,14,42
강원도삼척시,2011,0,72312,0,0.2715839750421646,0.520283959270995,-0.542731388211772,-0.5053933032926834,-0.13972203776624803,-0.5433134689707605,-0.5924694055040443,4,1,43
강원도삼척시,2012,0,72463,0,0.2660787022829338,0.6232140021057242,-0.542731388211772,-0.5156175210218134,-0.13972203776624803,-0.5433134689707605,-0.5924694055040443,4,2,44
강원도삼척시,2013,0,73023,0,0.26779910002019336,0.9141616216135524,-0.542731388211772,-0.5156175210218134,-0.13972203776624803,-0.5433134689707605,-0.5924694055040443,4,3,45
강원도삼척시,2014,0,72314,0,0.27536885006413586,0.8193333015848555,-0.542731388211772,-0.5258417387509433,-0.13972203776624803,-0.5433134689707605,-0.5924694055040443,4,4,46
강원도삼척시,2015,0,70839,0,0.2760570091590396,0.5981927677719802,-0.542731388211772,-0.5258417387509433,-0.13972203776624803,-0.5433134689707605,-0.5058775098070438,4,5,47
강원도삼척시,2016,0,69599,0,0.278809645538655,0.45843804367920993,-0.542731388211772,-0.5258417387509433,-0.13972203776624803,-0.5433134689707605,-0.5058775098070438,4,6,48
강원도삼척시,2017,0,68514,0,0.27433661142178,0.3793587665910671,-0.542731388211772,-0.5258417387509433,-0.13972203776624803,-0.5433134689707605,-0.4625815619585435,4,7,49
강원도삼척시,2018,0,68326,0,0.2915405887943768,0.4327052072282848,-0.6560547677892963,-0.5360659564800732,-0.13972203776624803,-0.5433134689707605,-0.4625815619585435,4,8,50
강원도삼척시,2019,0,67228,1.2243526392369692,0.2901642706045688,0.44110518498521056,-0.542731388211772,-0.5207296298863783,-0.13972203776624803,-0.5433134689707605,-0.4625815619585435,4,9,51
강원도삼척시,2020,0,65243,1.2243526392369692,0.2819932370784201,0.41319589386126016,-0.542731388211772,-0.5156175210218134,-0.13972203776624803,-0.5433134689707605,-0.4192856141100434,4,10,52
강원도삼척시,2021,0,63429,1.2243526392369692,0.28225044101317465,0.3478214506006055,-0.542731388211772,-0.5207296298863783,-0.13972203776624803,-0.5433134689707605,-0.4192856141100434,4,11,53
강원도삼척시,2022,0,63455,1.2243526392369692,0.2915405887943768,0.4781038171711827,-0.542731388211772,-0.5309538476155082,-0.13972203776624803,-0.5433134689707605,-0.4192856141100434,4,12,54
강원도삼척시,2023,0,62651,1.2243526392369692,0.2929169069841842,0.5756689245200347,-0.542731388211772,-0.5360659564800732,-0.13972203776624803,-0.5433134689707605,-0.4192856141100434,4,13,55
강원도삼척시,2024,0,61735,1.2243526392369692,0.30323929340774264,0.6844362997059739,-0.542731388211772,-0.5411780653446382,-0.13972203776624803,-0.5433134689707605,-0.4192856141100434,4,14,56
강원도속초시,2011,0,83745,-1.2243526392369692,0.8362185124107895,-0.657690929035954,-0.542731388211772,-0.37247847281399415,-0.13972203776624803,-0.2258165488145816,-0.2893977705645427,5,1,57
