from,to
150,228
151,152
151,153
151,154
151,155
152,151
152,153
152,154
152,155
153,69
153,151
153,152
153,154
153,155
154,58
154,86
154,151
154,152
154,153
154,155
155,69
155,151
155,152
155,153
155,154
156,26
156,160
156,162
156,164
156,165
157,26
157,29
157,128
157,161
157,162
158,29
158,32
158,33
158,159
158,161
158,163
159,158
159,160
159,161
159,162
159,163
159,165
160,156
160,159
160,161
160,162
160,163
160,165
161,29
161,157
161,158
161,159
161,160
161,162
161,163
162,26
162,156
162,157
162,159
162,160
162,161
162,164
162,165
163,158
163,159
163,160
163,161
163,165
164,26
164,156
164,162
164,165
165,156
165,159
165,160
165,162
165,163
165,164
166,180
166,181
166,183
166,184
166,186
167,175
167,176
167,178
167,183
168,170
168,172
168,176
168,194
169,54
169,64
169,170
169,176
169,178
170,64
170,168
170,169
170,176
170,191
171,90
171,91
171,94
171,174
171,180
171,185
172,92
172,93
172,94
172,168
172,182
172,194
173,174
173,177
173,180
173,184
173,186
174,171
174,173
174,177
174,180
174,185
175,167
175,176
175,183
175,187
176,167
176,168
176,169
176,170
176,175
176,178
177,173
177,174
177,184
177,186
178,54
178,167
178,169
178,176
179,90
179,182
179,185
179,188
180,166
180,171
180,173
180,174
180,181
180,183
180,186
181,166
181,180
181,183
181,186
181,202
181,203
182,90
182,93
182,172
182,179
182,188
183,166
183,167
183,175
183,180
183,181
184,166
184,173
184,177
184,186
184,202
184,203
185,90
185,171
185,174
185,179
186,166
186,173
186,177
186,180
186,181
186,184
186,202
186,203
187,91
187,92
187,93
187,94
187,175
188,90
188,179
188,182
188,193
189,190
189,193
189,196
189,210
189,212
190,189
190,193
190,196
190,199
190,200
191,66
191,170
191,194
191,198
192,51
192,72
192,201
192,206
192,222
193,188
193,189
193,190
193,200
194,168
194,172
194,191
194,197
194,200
195,196
195,197
195,199
195,201
196,189
196,190
196,195
196,199
196,207
196,210
196,212
197,194
197,195
197,198
197,199
198,51
198,66
198,191
198,197
198,201
199,190
199,195
199,196
199,197
199,200
199,201
200,190
200,193
200,194
200,199
201,192
201,195
201,198
201,199
202,181
202,184
202,186
202,203
203,181
203,184
203,186
203,202
204,106
204,107
204,108
204,205
204,207
205,150
205,204
205,214
205,216
206,105
206,106
206,108
206,192
206,222
206,223
207,106
207,108
207,196
207,204
207,210
208,46
208,211
208,213
208,214
208,217
209,210
209,212
209,216
209,218
210,189
210,196
210,207
210,209
210,212
210,216
211,208
211,214
211,217
211,218
212,189
212,196
212,209
212,210
213,46
213,208
213,214
213,215
214,205
214,208
214,211
214,213
214,216
214,217
214,218
215,34
215,150
215,213
215,227
216,205
216,209
216,210
216,214
216,218
217,208
217,211
217,214
217,218
218,209
218,211
218,214
218,216
218,217
219,73
219,221
219,226
219,229
220,8
220,80
220,82
220,225
221,75
221,104
221,105
221,219
221,223
221,228
222,72
222,192
222,206
222,223
223,104
223,105
223,206
223,221
223,222
224,34
224,38
224,44
224,226
224,227
224,229
225,8
225,73
225,80
225,220
225,229
226,219
226,224
226,227
226,228
226,229
227,34
227,215
227,224
227,226
228,104
228,107
228,150
228,221
228,226
229,9
229,219
229,224
229,225
229,226
