"cut_year","definition","decision_status","pre_start_year","pre_end_year","pre_year_n","pre_total_cases","pre_crude_incidence_per_100k","pre_zero_region_pct","pre_top_region","pre_top_region_cases","pre_top_region_share","pre_top5_share","pre_top10_share","pre_hhi","pre_gini","pre_busan_cases","pre_busan_share","pre_geumjeong_cases","pre_geumjeong_share","pre_moran_i","pre_expected_i","pre_p_value","post_start_year","post_end_year","post_year_n","post_total_cases","post_crude_incidence_per_100k","post_zero_region_pct","post_top_region","post_top_region_cases","post_top_region_share","post_top5_share","post_top10_share","post_hhi","post_gini","post_busan_cases","post_busan_share","post_geumjeong_cases","post_geumjeong_share","post_moran_i","post_expected_i","post_p_value","delta_post_minus_pre_moran_i","delta_post_minus_pre_top5_share","delta_post_minus_pre_busan_share","delta_post_minus_pre_geumjeong_share","moran_decrease","top5_decrease","busan_share_decrease","geumjeong_share_decrease","direction_consistent","status"
2006,"pre=2001-2006; post=2007-2024","candidate_only_not_auto_selected",2001,2006,6,546,0.18906083286802497,56.502242152466366,"부산시금정구",195,0.35714285714285715,0.5091575091575091,0.5970695970695971,0.13816769311274799,0.8528392384894627,332,0.608058608058608,195,0.35714285714285715,0.1985296590001899,-0.0045045045045045045,6.265832284926369e-30,2007,2024,18,593,0.06500618542624136,25.112107623318387,"전라북도전주시",15,0.025295109612141653,0.11298482293423272,0.20236087689713322,0.01038819959675699,0.5760630373792905,67,0.11298482293423272,3,0.00505902192242833,0.11871361266957524,-0.0045045045045045045,0.0019362746279422425,-0.07981604633061466,-0.3961726862232764,-0.4950737851243753,-0.3520838352204288,TRUE,TRUE,TRUE,TRUE,TRUE,"EXPLORATORY_PRE_APPROVAL"
2007,"pre=2001-2007; post=2008-2024","candidate_only_not_auto_selected",2001,2007,7,580,0.17175866094602532,52.01793721973094,"부산시금정구",195,0.33620689655172414,0.4793103448275862,0.5637931034482758,0.12296670630202149,0.8302613267357353,333,0.5741379310344827,195,0.33620689655172414,0.1949703865491828,-0.0045045045045045045,3.5497739550464733e-29,2008,2024,17,559,0.06474900702445993,26.45739910313901,"경기도고양시",14,0.025044722719141325,0.11627906976744186,0.2039355992844365,0.01056384228161072,0.5812589746263748,66,0.11806797853309481,3,0.005366726296958855,0.1304777056618858,-0.0045045045045045045,8.602101045750009e-4,-0.06449268088729701,-0.3630312750601444,-0.45606995250138793,-0.3308401702547653,TRUE,TRUE,TRUE,TRUE,TRUE,"EXPLORATORY_PRE_APPROVAL"
2008,"pre=2001-2008; post=2009-2024","candidate_only_not_auto_selected",2001,2008,8,616,0.1592395299104314,47.98206278026906,"부산시금정구",195,0.31655844155844154,0.45292207792207795,0.5340909090909091,0.10969387755102045,0.8084997961679576,334,0.5422077922077922,195,0.31655844155844154,0.1898428197219241,-0.0045045045045045045,3.643127063288565e-27,2009,2024,16,523,0.06423655165417104,29.14798206278027,"전라북도전주시",14,0.02676864244741874,0.11854684512428298,0.20650095602294455,0.010627757934259236,0.5864064683740751,65,0.124282982791587,3,0.0057361376673040155,0.11360382987322834,-0.0045045045045045045,0.0029978932384591697,-0.07623898984869576,-0.33437523279779496,-0.41792480941620525,-0.3108223038911375,TRUE,TRUE,TRUE,TRUE,TRUE,"EXPLORATORY_PRE_APPROVAL"
2009,"pre=2001-2009; post=2010-2024","candidate_only_not_auto_selected",2001,2009,9,639,0.14648597980967923,46.18834080717489,"부산시금정구",195,0.3051643192488263,0.4381846635367762,0.5195618153364632,0.10240717474731895,0.7983747026253184,335,0.5242566510172144,195,0.3051643192488263,0.18592279424464767,-0.0045045045045045045,2.0846688078359063e-26,2010,2024,15,500,0.06537677428038055,29.596412556053814,"경기도고양시",13,0.026,0.118,0.206,0.010536000000000004,0.5830852017937219,64,0.128,3,0.006,0.09903969869957208,-0.0045045045045045045,0.007932078756575048,-0.08688309554507559,-0.3201846635367762,-0.3962566510172144,-0.2991643192488263,TRUE,TRUE,TRUE,TRUE,TRUE,"EXPLORATORY_PRE_APPROVAL"
2010,"pre=2001-2010; post=2011-2024","candidate_only_not_auto_selected",2001,2010,10,677,0.13920309767316738,45.2914798206278,"부산시금정구",195,0.2880354505169867,0.41654357459379615,0.49926144756277696,0.092237235697501,0.7902974743493784,339,0.5007385524372231,195,0.2880354505169867,0.18353541239069965,-0.0045045045045045045,4.660929462208594e-25,2011,2024,14,462,0.064644581544066,31.390134529147986,"경기도부천시",13,0.02813852813852814,0.11904761904761904,0.20562770562770563,0.010550776784543029,0.5837167316987945,60,0.12987012987012986,3,0.006493506493506494,0.0886412017067613,-0.0045045045045045045,0.014846065916273188,-0.09489421068393834,-0.29749595554617714,-0.37086842256709324,-0.2815419440234802,TRUE,TRUE,TRUE,TRUE,TRUE,"EXPLORATORY_PRE_APPROVAL"
2011,"pre=2001-2011; post=2012-2024","candidate_only_not_auto_selected",2001,2011,11,699,0.13024685164058702,44.843049327354265,"부산시금정구",195,0.27896995708154504,0.40486409155937053,0.4892703862660944,0.08715700540932157,0.7864919134958974,341,0.48783977110157367,195,0.27896995708154504,0.18862417476724136,-0.0045045045045045045,3.0523762609502894e-25,2012,2024,13,440,0.06623078989674408,32.28699551569507,"경기도부천시",13,0.029545454545454545,0.12045454545454545,0.20454545454545456,0.010557851239669425,0.5829596412556054,58,0.1318181818181818,3,0.006818181818181818,0.08765906161115168,-0.0045045045045045045,0.015604742723082396,-0.10096511315608968,-0.28440954610482505,-0.3560215892833919,-0.2721517752633632,TRUE,TRUE,TRUE,TRUE,TRUE,"EXPLORATORY_PRE_APPROVAL"
2012,"pre=2001-2012; post=2013-2024","candidate_only_not_auto_selected",2001,2012,12,727,0.1238039898109146,44.39461883408072,"부산시금정구",195,0.26822558459422285,0.3920220082530949,0.47730398899587345,0.08125381956335413,0.7791217670752093,344,0.4731774415405777,195,0.26822558459422285,0.1881753492857555,-0.0045045045045045045,5.523353816339145e-25,2013,2024,12,412,0.06712303104994928,33.18385650224215,"경기도고양시",11,0.02669902912621359,0.11407766990291263,0.19902912621359223,0.010403902347063823,0.5818712177282425,55,0.13349514563106796,3,0.007281553398058253,0.08816065985402184,-0.0045045045045045045,0.015081259779364168,-0.10001468943173365,-0.2779443383501823,-0.33968229590950977,-0.2609440311961646,TRUE,TRUE,TRUE,TRUE,TRUE,"EXPLORATORY_PRE_APPROVAL"
