"sigungu_code","sigungu_name","sigungu_nm","sido","RR_median","RR_mean","RR_CrI_lower","RR_CrI_upper","Pr_RR_gt_1","elevated_95CrI_flag","exceedance_0_8_flag","exceedance_0_9_flag","island_removed_from_main","total_cases_2011_2024"
"21130","부산시연제구","연제구","부산시",1.532018302067957,1.6119529512976583,0.9987333495489229,2.6787877445222104,0.9746185556948397,FALSE,TRUE,TRUE,FALSE,7
"21090","부산시해운대구","해운대구","부산시",1.5397015727589198,1.6298372969248507,0.9754427648374095,2.7907751687146787,0.9672563899599591,FALSE,TRUE,TRUE,FALSE,9
"21080","부산시북구","북구","부산시",1.4670597045676506,1.5408066003480874,0.9659251113197322,2.5298655462352833,0.9627861410424595,FALSE,TRUE,TRUE,FALSE,7
"21060","부산시동래구","동래구","부산시",1.4622505739117388,1.5330859979437133,0.9519712050487247,2.5083898788089725,0.9573823698339988,FALSE,TRUE,TRUE,FALSE,5
"21310","부산시기장군","기장군","부산시",1.4886880283491877,1.5773915101038511,0.9457734224774201,2.7078346595933245,0.9555075141097867,FALSE,TRUE,TRUE,FALSE,4
"21050","부산시부산진구","부산진구","부산시",1.37152077255417,1.4249718535425064,0.918921991534001,2.226148611431466,0.9379943135996753,FALSE,TRUE,TRUE,FALSE,6
"21110","부산시금정구","금정구","부산시",1.414177709656298,1.4845883637578234,0.9122955046934713,2.447560396289255,0.9377273697403259,FALSE,TRUE,TRUE,FALSE,3
"21070","부산시남구","남구","부산시",1.3626465146245066,1.420973193909058,0.8933156984828275,2.2720224995982763,0.9238296065462104,FALSE,TRUE,TRUE,FALSE,4
"21140","부산시수영구","수영구","부산시",1.4044282699376667,1.4833862525705739,0.8757071247744703,2.531179590361151,0.9193329290047767,FALSE,TRUE,TRUE,FALSE,2
"21150","부산시사상구","사상구","부산시",1.3088403031754112,1.3586194695611167,0.8698544391919907,2.123002694260971,0.9024489342629756,FALSE,TRUE,TRUE,FALSE,4
"38070","경상남도김해시","김해시","경상남도",1.2863513783849738,1.3323575583328033,0.8705633729899542,2.047988295880371,0.8978194559665424,FALSE,TRUE,FALSE,FALSE,8
"36440","전라남도영광군","영광군","전라남도",1.3861168326134674,1.5050105301958765,0.8533478480464312,2.8513121462153364,0.8976053392969998,FALSE,TRUE,FALSE,FALSE,5
"21010","부산시중구","중구","부산시",1.310270937382697,1.366153430429797,0.8508865340037035,2.192551708579914,0.8920234781134083,FALSE,TRUE,FALSE,FALSE,2
"21120","부산시강서구","강서구","부산시",1.2841752337873533,1.3327763358511568,0.8563794751281512,2.0783908567344596,0.8893114040923753,FALSE,TRUE,FALSE,FALSE,2
"38090","경상남도거제시","거제시","경상남도",1.2970346548255562,1.3594809383597342,0.84304113729657,2.2243183375774076,0.8815965606671058,FALSE,TRUE,FALSE,TRUE,6
"24030","광주시남구","남구","광주시",1.2947052922483198,1.3649545414427613,0.8460788043689701,2.2801604036567293,0.8758997730039808,FALSE,TRUE,FALSE,FALSE,6
"38080","경상남도밀양시","밀양시","경상남도",1.2762509168539353,1.346677919174143,0.8371414123055685,2.256422093384374,0.8702098998102776,FALSE,TRUE,FALSE,FALSE,4
