model,structure,DIC,WAIC,resid_moran_raw,p_raw,resid_moran_pearson,p_pearson,elevated_districts,mode_status,CPO_failure_count
M1,"NB, covariates only",2500.1042000867506,2500.1659423135675,0.08755077436116274,0.017170986445437974,0.0537672350220849,0.08992807196317734,NA,0,0
M2,NB + ICAR,2495.299535588445,2495.937122097142,-0.001441583685261041,0.47194203751410313,-0.004251715148378707,0.4976824191401154,0,0,0
M3,NB + BYM,2496.399685982576,2496.896270469156,-0.008926945641405643,0.5404674313929813,-0.008508278153202958,0.5366449681144199,0,0,0
M4,NB + BYM + IID,2494.1150513520265,2495.613625112619,-0.005975731811744005,0.5134823304654421,-0.007253543434728818,0.5251704672461186,0,0,0
M5,NB + BYM + RW1,2475.896986349775,2477.2379333212307,-0.01453841612882368,0.5912194987756716,-0.012674412654575936,0.5743113567407765,0,0,0
M6,NB + BYM + RW1 + IID,2474.664824384485,2475.955536544343,-0.00956105979364735,0.5462693633778747,-0.010417519949801612,0.5539297785785101,0,0,0
