"model","structure","DIC","WAIC","resid_moran_raw","p_raw","resid_moran_pearson","p_pearson","elevated_districts","elevated_note","mode_status","CPO_failure_count","warning_count","runtime_seconds","status"
"M1","NB, covariates only",2500.1051338422803,2500.170913086771,0.08755076147734558,0.017170997000380838,0.05376691306246663,0.08992924378775818,,"not applicable: no spatial random effect","0",0,0,3.4114840030670166,"APPROVED_TO_PROCEED_CONFIRMATORY_RUN"
"M2","NB + ICAR",2495.2995307810347,2495.9371154877826,-0.0014415351100961584,0.47194159326345353,-0.004251683312114644,0.4976821272653036,0,"posterior spatial RR 95% CrI lower bound > 1","0",0,0,3.1654160022735596,"APPROVED_TO_PROCEED_CONFIRMATORY_RUN"
"M3","NB + BYM",2496.3996186893132,2496.896229318595,-0.008927740661002364,0.5404746811717807,-0.008508793763426526,0.5366496735719585,0,"posterior spatial RR 95% CrI lower bound > 1","0",0,0,2.5450599193573,"APPROVED_TO_PROCEED_CONFIRMATORY_RUN"
"M4","NB + BYM + IID",2494.131580047527,2495.6171855082744,-0.005977273190376832,0.5134964509913685,-0.0072538407026560055,0.5251731957432327,0,"posterior spatial RR 95% CrI lower bound > 1","0",0,0,4.200876951217651,"APPROVED_TO_PROCEED_CONFIRMATORY_RUN"
"M5","NB + BYM + RW1",2475.8956861842867,2477.2371694369826,-0.014540973460479521,0.5912423441212276,-0.01267620371583203,0.5743274584939785,0,"posterior spatial RR 95% CrI lower bound > 1","0",0,0,3.2666759490966797,"APPROVED_TO_PROCEED_CONFIRMATORY_RUN"
"M6","NB + BYM + RW1 + IID",2474.6638742065907,2475.9552075005604,-0.009560322523042116,0.5462626484020325,-0.01041691945304216,0.5539243357376731,0,"posterior spatial RR 95% CrI lower bound > 1","0",0,0,4.732950925827026,"APPROVED_TO_PROCEED_CONFIRMATORY_RUN"
