"period","years","total_cases","mean_crude_Moran_I","EB_evaluable_years","mean_EB_Moran_I","crude_significant_years","EB_significant_years"
"contemporary_2011_2024",14,462,0.009098036034185984,13,0.009964291917118971,3,2
"early_2001_2010",10,677,0.07597709901708634,6,0.05412259302568469,6,2
